1137,227,67,whiteWine,2
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
-995,-439,19,beer,1
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
-995,-439,19,beer,1
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
-995,-439,19,beer,1
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
-995,-439,19,beer,1
-1180,935,27,whiteWine,2
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
-995,-439,19,beer,1
-1180,935,27,whiteWine,2
-228,1149,42,beer,1
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
-995,-439,19,beer,1
-1180,935,27,whiteWine,2
-228,1149,42,beer,1
1591,900,57,beer,1
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
-995,-439,19,beer,1
-1180,935,27,whiteWine,2
-228,1149,42,beer,1
1591,900,57,beer,1
-881,-1394,4,beer,1
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
-995,-439,19,beer,1
-1180,935,27,whiteWine,2
-228,1149,42,beer,1
1591,900,57,beer,1
-881,-1394,4,beer,1
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
-995,-439,19,beer,1
-1180,935,27,whiteWine,2
-228,1149,42,beer,1
1591,900,57,beer,1
-881,-1394,4,beer,1
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
-995,-439,19,beer,1
-1180,935,27,whiteWine,2
-228,1149,42,beer,1
1591,900,57,beer,1
-881,-1394,4,beer,1
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
-995,-439,19,beer,1
-1180,935,27,whiteWine,2
-228,1149,42,beer,1
1591,900,57,beer,1
-881,-1394,4,beer,1
737,298,46,beer,1
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
-995,-439,19,beer,1
-1180,935,27,whiteWine,2
-228,1149,42,beer,1
1591,900,57,beer,1
-881,-1394,4,beer,1
737,298,46,beer,1
100,547,65,beer,1
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
-995,-439,19,beer,1
-1180,935,27,whiteWine,2
-228,1149,42,beer,1
1591,900,57,beer,1
-881,-1394,4,beer,1
737,298,46,beer,1
100,547,65,beer,1
536,103,47,beer,1
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
-995,-439,19,beer,1
-1180,935,27,whiteWine,2
-228,1149,42,beer,1
1591,900,57,beer,1
-881,-1394,4,beer,1
737,298,46,beer,1
100,547,65,beer,1
536,103,47,beer,1
-1361,1198,30,redWine,3
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
-995,-439,19,beer,1
-1180,935,27,whiteWine,2
-228,1149,42,beer,1
1591,900,57,beer,1
-881,-1394,4,beer,1
737,298,46,beer,1
100,547,65,beer,1
536,103,47,beer,1
-1361,1198,30,redWine,3
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
-995,-439,19,beer,1
-1180,935,27,whiteWine,2
-228,1149,42,beer,1
1591,900,57,beer,1
-881,-1394,4,beer,1
737,298,46,beer,1
100,547,65,beer,1
536,103,47,beer,1
-1361,1198,30,redWine,3
-993,-1050,9,coke,5
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
-995,-439,19,beer,1
-1180,935,27,whiteWine,2
-228,1149,42,beer,1
1591,900,57,beer,1
-881,-1394,4,beer,1
737,298,46,beer,1
100,547,65,beer,1
536,103,47,beer,1
-1361,1198,30,redWine,3
-993,-1050,9,coke,5
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
-995,-439,19,beer,1
-1180,935,27,whiteWine,2
-228,1149,42,beer,1
1591,900,57,beer,1
-881,-1394,4,beer,1
737,298,46,beer,1
100,547,65,beer,1
536,103,47,beer,1
-1361,1198,30,redWine,3
-993,-1050,9,coke,5
-1653,-890,10,coke,5
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
-995,-439,19,beer,1
-1180,935,27,whiteWine,2
-228,1149,42,beer,1
1591,900,57,beer,1
-881,-1394,4,beer,1
737,298,46,beer,1
100,547,65,beer,1
536,103,47,beer,1
-1361,1198,30,redWine,3
-993,-1050,9,coke,5
-1653,-890,10,coke,5
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
-995,-439,19,beer,1
-1180,935,27,whiteWine,2
-228,1149,42,beer,1
1591,900,57,beer,1
-881,-1394,4,beer,1
737,298,46,beer,1
100,547,65,beer,1
536,103,47,beer,1
-1361,1198,30,redWine,3
-993,-1050,9,coke,5
-1653,-890,10,coke,5
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
-995,-439,19,beer,1
-1180,935,27,whiteWine,2
-228,1149,42,beer,1
1591,900,57,beer,1
-881,-1394,4,beer,1
737,298,46,beer,1
100,547,65,beer,1
536,103,47,beer,1
-1361,1198,30,redWine,3
-993,-1050,9,coke,5
-1653,-890,10,coke,5
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
-995,-439,19,beer,1
-1180,935,27,whiteWine,2
-228,1149,42,beer,1
1591,900,57,beer,1
-881,-1394,4,beer,1
737,298,46,beer,1
100,547,65,beer,1
536,103,47,beer,1
-1361,1198,30,redWine,3
-993,-1050,9,coke,5
-1653,-890,10,coke,5
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
-995,-439,19,beer,1
-1180,935,27,whiteWine,2
-228,1149,42,beer,1
1591,900,57,beer,1
-881,-1394,4,beer,1
737,298,46,beer,1
100,547,65,beer,1
536,103,47,beer,1
-1361,1198,30,redWine,3
-993,-1050,9,coke,5
-1653,-890,10,coke,5
-1394,-903,11,beer,1
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
-995,-439,19,beer,1
-1180,935,27,whiteWine,2
-228,1149,42,beer,1
1591,900,57,beer,1
-881,-1394,4,beer,1
737,298,46,beer,1
100,547,65,beer,1
536,103,47,beer,1
-1361,1198,30,redWine,3
-993,-1050,9,coke,5
-1653,-890,10,coke,5
-1394,-903,11,beer,1
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
-995,-439,19,beer,1
-1180,935,27,whiteWine,2
-228,1149,42,beer,1
1591,900,57,beer,1
-881,-1394,4,beer,1
737,298,46,beer,1
100,547,65,beer,1
536,103,47,beer,1
-1361,1198,30,redWine,3
-993,-1050,9,coke,5
-1653,-890,10,coke,5
-1394,-903,11,beer,1
-1778,-1046,5,coke,5
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
-995,-439,19,beer,1
-1180,935,27,whiteWine,2
-228,1149,42,beer,1
1591,900,57,beer,1
-881,-1394,4,beer,1
737,298,46,beer,1
100,547,65,beer,1
536,103,47,beer,1
-1361,1198,30,redWine,3
-993,-1050,9,coke,5
-1653,-890,10,coke,5
-1394,-903,11,beer,1
-1778,-1046,5,coke,5
960,337,66,beer,1
1137,227,67,whiteWine,2
-1524,-436,15,beer,1
-1186,-1380,3,beer,1
-995,-439,19,beer,1
-1180,935,27,whiteWine,2
-228,1149,42,beer,1
1591,900,57,beer,1
-881,-1394,4,beer,1
737,298,46,beer,1
